,x,y
0,50.64862,114.20766
1,51.276424,113.649666
2,50.407997,112.33586
3,50.211357,110.95055
4,50.060257,109.6741
5,52.47983,109.58713
6,51.114548,108.30554
7,53.028473,108.15347
8,53.39905,107.51428
9,49.424797,105.40926
10,49.198643,104.487206
11,49.045982,103.588356
12,48.966816,102.71271
13,51.02772,102.60704
14,51.4806,102.08835
15,51.161797,101.326096
16,49.290867,99.97945
17,48.595814,99.00391
18,49.35145,98.67531
19,54.203503,99.82865
20,51.09044,98.56254
21,56.95223,100.22362
22,66.01094,102.89374
23,66.03009,102.710754
24,65.31432,102.29579
25,65.33347,102.11281
26,64.98517,101.81383
27,64.930824,101.607635
28,65.170456,101.49425
29,49.784176,96.35439
30,55.278503,97.89952
31,49.850433,95.902725
32,51.146904,96.028366
33,51.37774,95.81767
34,57.267483,97.39307
35,50.22258,94.885956
36,66.593765,99.864075
37,63.296974,98.53996
38,51.291336,94.46713
39,47.774063,93.07345
40,63.006126,97.69202
41,51.220966,93.68878
42,65.130165,97.88983
43,51.470955,93.29509
44,65.08618,97.40336
45,55.873257,94.211975
46,47.725967,91.35695
47,64.64835,96.509026
48,57.493214,93.96713
49,51.25672,91.71518
50,64.651474,95.75386
51,55.62228,92.62047
52,46.77681,89.54507
53,61.237206,93.920074
54,51.546577,90.57793
55,46.669697,88.75511
56,46.496323,88.41684
57,46.396442,88.101746
58,46.11283,87.72868
59,62.373787,92.672
60,57.42341,90.82599
61,47.438812,87.39105
62,62.193172,91.85885
63,51.5104,88.20355
64,63.43531,91.778305
65,51.429676,87.70549
66,60.267902,90.306
67,66.27668,92.01349
68,51.588577,87.09401
69,55.02512,87.989624
70,57.06531,88.44452
71,56.12907,87.95999
72,51.885666,86.43163
73,48.340443,85.12364
74,66.0433,90.61658
75,63.196243,89.52893
76,59.61428,88.209335
77,54.635952,86.44902
78,48.518497,84.32916
79,65.92738,89.729324
80,63.006844,88.618484
81,59.388123,87.28729
82,54.593536,85.58498
83,51.63625,84.46254
84,65.884964,88.865265
85,62.817436,87.70803
86,59.05174,86.33046
87,54.29389,84.63973
88,48.764374,82.70544
89,65.842545,88.00122
90,62.407555,86.72801
91,56.988277,84.82851
92,66.75396,87.81629
93,56.998634,84.54823
94,67.20527,87.67517
95,58.809555,84.83625
96,49.274704,81.63779
97,66.977554,87.13071
98,62.44019,85.509575
99,62.238865,85.256996
100,61.927303,84.96962
101,58.382076,83.66162
102,53.881454,82.05208
103,37.03412,76.5456
