,x,y
0,38.71617,2.680893
1,38.6835,3.9901428
2,38.650826,5.2993927
3,38.61815,6.6086426
4,38.585472,7.9178886
5,38.5528,9.2271385
6,38.520126,10.536392
7,38.48745,11.845638
8,38.454777,13.154888
9,38.4221,14.464142
10,38.389427,15.773384
11,38.35675,17.08264
12,38.324078,18.391888
13,38.291405,19.701136
14,38.258728,21.010386
15,38.22605,22.319635
16,38.19338,23.628883
17,38.160706,24.938133
18,38.12803,26.247387
19,38.095356,27.556637
20,38.062683,28.865885
21,38.030006,30.175133
22,37.99733,31.484383
23,37.964657,32.793633
24,37.931984,34.102882
25,37.899307,35.412136
26,37.86663,36.721382
27,37.833958,38.030632
28,37.801285,39.33988
29,37.76861,40.64913
30,37.735935,41.958378
31,37.703262,43.267628
32,37.670586,44.57688
33,37.63791,45.88613
34,37.605236,47.19538
35,37.572563,48.50463
36,37.539886,49.813877
37,37.50721,51.123127
38,37.474537,52.432377
39,37.441864,53.741623
40,37.409187,55.05088
41,37.376514,56.36013
42,37.34384,57.669376
43,37.311165,58.978626
44,37.27849,60.287872
45,37.245815,61.597122
46,37.213142,62.906372
47,37.180466,64.21563
48,37.14779,65.52487
49,37.115116,66.83412
50,37.082443,68.14338
51,37.049767,69.45263
52,37.017094,70.76188
53,36.98442,72.07112
54,36.951744,73.38037
55,36.919067,74.68962
56,36.886395,75.99887
57,36.85372,77.30812
58,36.821045,78.61737
59,36.78837,79.92662
60,36.755695,81.23587
61,36.723022,82.54512
62,36.690346,83.85437
63,36.657673,85.16362
64,36.625,86.47288
65,36.592323,87.78213
66,36.559647,89.09137
67,36.526974,90.40062
68,36.4943,91.70987
69,36.461624,93.01912
70,36.428947,94.32837
71,72.10105,1.341629
72,72.068375,2.650879
73,72.0357,3.9601288
74,72.00302,5.2693787
75,71.97035,6.5786247
76,71.937675,7.8878746
77,71.905,9.197128
78,71.87233,10.506374
79,71.83965,11.815624
80,71.80698,13.124878
81,71.77431,14.43412
82,71.74163,15.743378
83,71.708954,17.052628
84,71.67628,18.361876
85,71.6436,19.671125
86,71.61093,20.980375
87,71.578255,22.289623
88,71.54558,23.598873
89,71.51291,24.908127
90,71.48023,26.217377
91,71.447556,27.526625
92,71.41489,28.835873
93,71.38221,30.145123
94,71.34953,31.45437
95,71.31686,32.763622
96,71.28418,34.072876
97,71.25151,35.382126
98,71.218834,36.691372
99,71.18616,38.00062
100,71.15349,39.309868
101,71.12081,40.619118
102,71.088135,41.928368
103,71.055466,43.23762
104,71.02279,44.54687
105,70.99011,45.85612
106,70.957436,47.165367
107,70.92476,48.474617
108,70.89209,49.783867
109,70.85941,51.093117
110,70.82674,52.402363
111,70.79407,53.71162
112,70.76139,55.020866
113,70.728714,56.330116
114,70.696045,57.639366
115,70.66337,58.948616
116,70.63069,60.257862
117,70.598015,61.567112
118,70.56534,62.876366
119,70.53267,64.18561
120,70.49999,65.49486
121,70.467316,66.80412
122,70.43465,68.11337
123,70.40197,69.422615
124,70.36929,70.731865
125,70.336624,72.041115
126,70.30395,73.350365
127,70.27127,74.659615
128,70.238594,75.968864
129,70.20592,77.27811
130,70.17325,78.58736
131,70.14057,79.89661
132,70.107895,81.20586
133,70.075226,82.51511
134,70.04255,83.824356
135,70.00987,85.13361
136,69.977196,86.44286
137,69.94453,87.752106
138,69.91185,89.061356
139,69.87917,90.370605
140,69.8465,91.679855
141,69.81383,92.989105
